2018-09-20 03:00:00,Conexión de Energía,a
2018-09-21 03:00:00,4293060000,acc
2018-09-22 15:03:00,Optimo,b
2018-09-23 03:00:00,#¡VALOR!,acc
2018-09-25 03:00:00,#¡VALOR!,acc
2018-09-25 15:03:00,Optimo,b
2018-09-27 03:00:00,#¡VALOR!,acc
2018-09-28 15:03:00,Optimo,b
2018-09-29 03:00:00,#¡VALOR!,acc
2018-10-01 03:00:00,#¡VALOR!,acc
2018-10-01 15:03:00,Optimo,b
2018-10-03 03:00:00,#¡VALOR!,acc
2018-10-04 15:03:00,Optimo,b
2018-10-05 03:00:00,#¡VALOR!,acc
2018-10-07 03:00:00,#¡VALOR!,acc
2018-10-07 15:03:00,Optimo,b
2018-10-09 03:00:00,#¡VALOR!,acc
2018-10-10 15:03:00,Optimo,b
2018-10-11 03:00:00,#¡VALOR!,acc
2018-10-13 03:00:00,#¡VALOR!,acc
2018-10-13 15:03:00,Optimo,b
2018-10-15 03:00:00,#¡VALOR!,acc
2018-10-16 15:03:00,Optimo,b
2018-10-17 03:00:00,#¡VALOR!,acc
2018-10-19 03:00:00,#¡VALOR!,acc
2018-10-19 15:03:00,Optimo,b
2018-10-21 03:00:00,#¡VALOR!,acc
2018-10-22 15:03:00,Optimo,b
2018-10-23 03:00:00,#¡VALOR!,acc
2018-10-25 03:00:00,#¡VALOR!,acc
2018-10-25 15:03:00,Optimo,b
2018-10-27 03:00:00,#¡VALOR!,acc
2018-10-28 15:03:00,Optimo,b
2018-10-29 03:00:00,#¡VALOR!,acc
2018-10-31 03:00:00,#¡VALOR!,acc
2018-10-31 15:03:00,Optimo,b
2018-11-02 03:00:00,#¡VALOR!,acc
2018-11-03 15:03:00,Optimo,b
2018-11-04 03:00:00,#¡VALOR!,acc
2018-11-06 03:00:00,#¡VALOR!,acc
2018-11-06 15:03:00,Optimo,b
2018-11-08 03:00:00,#¡VALOR!,acc
2018-11-09 15:03:00,Optimo,b
2018-11-10 03:00:00,#¡VALOR!,acc
2018-11-12 03:00:00,#¡VALOR!,acc
2018-11-12 15:03:00,Optimo,b
2018-11-14 03:00:00,#¡VALOR!,acc
2018-11-15 15:03:00,Optimo,b
2018-11-16 03:00:00,#¡VALOR!,acc
2018-11-18 03:00:00,#¡VALOR!,acc
2018-11-18 15:03:00,Optimo,b
2018-11-20 03:00:00,#¡VALOR!,acc
2018-11-21 15:03:00,Optimo,b
2018-11-22 03:00:00,#¡VALOR!,acc
2018-11-24 03:00:00,#¡VALOR!,acc
2018-11-24 15:03:00,Optimo,b
2018-11-26 03:00:00,#¡VALOR!,acc
2018-11-27 15:03:00,Optimo,b
2018-11-28 03:00:00,#¡VALOR!,acc
2018-11-30 03:00:00,#¡VALOR!,acc
2018-11-30 15:03:00,Optimo,b
2018-12-02 03:00:00,#¡VALOR!,acc
2018-12-03 15:03:00,Medio-Alto,b
2018-12-04 03:00:00,#¡VALOR!,acc
2018-12-06 03:00:00,#¡VALOR!,acc
2018-12-06 15:03:00,Medio-Alto,b
2018-12-08 03:00:00,#¡VALOR!,acc
2018-12-09 15:03:00,Medio-Alto,b
2018-12-10 03:00:00,#¡VALOR!,acc
2018-12-12 03:00:00,#¡VALOR!,acc
2018-12-12 15:03:00,Medio-Alto,b
2018-12-14 03:00:00,#¡VALOR!,acc
2018-12-15 15:03:00,Medio-Alto,b
2018-12-16 03:00:00,#¡VALOR!,acc
2018-12-18 03:00:00,#¡VALOR!,acc
2018-12-18 15:03:00,Medio-Alto,b
2018-12-20 03:00:00,#¡VALOR!,acc
2018-12-21 15:03:00,Medio-Alto,b
2018-12-22 03:00:00,#¡VALOR!,acc
2018-12-24 03:00:00,#¡VALOR!,acc
2018-12-24 15:03:00,Medio-Alto,b
2018-12-26 03:00:00,#¡VALOR!,acc
2018-12-27 15:03:00,Medio-Alto,b
2018-12-28 03:00:00,#¡VALOR!,acc
2018-12-30 03:00:00,#¡VALOR!,acc
2018-12-30 15:03:00,Medio-Alto,b
2019-01-01 03:00:00,#¡VALOR!,acc
